datetime,count,season,holiday,workingday
2010-09-20 11:00:00,2,3,0,1
2010-09-20 12:00:00,17,3,0,1
2010-09-20 13:00:00,11,3,0,1
2010-09-20 14:00:00,6,3,0,1
2010-09-20 15:00:00,12,3,0,1
2010-09-20 16:00:00,17,3,0,1
2010-09-20 17:00:00,24,3,0,1
2010-09-20 18:00:00,39,3,0,1
2010-09-20 19:00:00,33,3,0,1
2010-09-20 20:00:00,23,3,0,1
2010-09-20 21:00:00,18,3,0,1
2010-09-20 22:00:00,5,3,0,1
2010-09-20 23:00:00,5,3,0,1
2010-09-21 00:00:00,2,3,0,1
2010-09-21 01:00:00,0,3,0,1
2010-09-21 02:00:00,0,3,0,1
2010-09-21 03:00:00,0,3,0,1
2010-09-21 04:00:00,0,3,0,1
2010-09-21 05:00:00,0,3,0,1
2010-09-21 06:00:00,3,3,0,1
2010-09-21 07:00:00,6,3,0,1
2010-09-21 08:00:00,25,3,0,1
2010-09-21 09:00:00,22,3,0,1
2010-09-21 10:00:00,12,3,0,1
2010-09-21 11:00:00,16,3,0,1
2010-09-21 12:00:00,20,3,0,1
2010-09-21 13:00:00,20,3,0,1
2010-09-21 14:00:00,17,3,0,1
2010-09-21 15:00:00,11,3,0,1
2010-09-21 16:00:00,15,3,0,1
2010-09-21 17:00:00,25,3,0,1
2010-09-21 18:00:00,47,3,0,1
2010-09-21 19:00:00,32,3,0,1
2010-09-21 20:00:00,17,3,0,1
2010-09-21 21:00:00,19,3,0,1
2010-09-21 22:00:00,12,3,0,1
2010-09-21 23:00:00,3,3,0,1
2010-09-22 00:00:00,1,3,0,1
2010-09-22 01:00:00,1,3,0,1
2010-09-22 02:00:00,1,3,0,1
2010-09-22 03:00:00,1,3,0,1
2010-09-22 04:00:00,2,3,0,1
2010-09-22 05:00:00,2,3,0,1
2010-09-22 06:00:00,4,3,0,1
2010-09-22 07:00:00,18,3,0,1
2010-09-22 08:00:00,28,3,0,1
2010-09-22 09:00:00,25,3,0,1
2010-09-22 10:00:00,16,3,0,1
2010-09-22 11:00:00,15,3,0,1
2010-09-22 12:00:00,22,3,0,1
2010-09-22 13:00:00,17,3,0,1
2010-09-22 14:00:00,25,3,0,1
2010-09-22 15:00:00,21,3,0,1
2010-09-22 16:00:00,22,3,0,1
2010-09-22 17:00:00,30,3,0,1
2010-09-22 18:00:00,31,3,0,1
2010-09-22 19:00:00,29,3,0,1
2010-09-22 20:00:00,20,3,0,1
2010-09-22 21:00:00,24,3,0,1
2010-09-22 22:00:00,13,3,0,1
2010-09-22 23:00:00,9,3,0,1
2010-09-23 00:00:00,4,4,0,1
2010-09-23 01:00:00,0,4,0,1
2010-09-23 02:00:00,2,4,0,1
2010-09-23 03:00:00,1,4,0,1
2010-09-23 04:00:00,0,4,0,1
2010-09-23 05:00:00,0,4,0,1
2010-09-23 06:00:00,3,4,0,1
2010-09-23 07:00:00,11,4,0,1
2010-09-23 08:00:00,30,4,0,1
2010-09-23 09:00:00,18,4,0,1
2010-09-23 10:00:00,7,4,0,1
2010-09-23 11:00:00,19,4,0,1
2010-09-23 12:00:00,17,4,0,1
2010-09-23 13:00:00,12,4,0,1
2010-09-23 14:00:00,18,4,0,1
2010-09-23 15:00:00,17,4,0,1
2010-09-23 16:00:00,22,4,0,1
2010-09-23 17:00:00,27,4,0,1
2010-09-23 18:00:00,40,4,0,1
2010-09-23 19:00:00,38,4,0,1
